u,v,w
375,350,0.101056
376,377,0.031069
376,375,0.027361
376,351,0.186534
377,378,0.191309
377,376,0.031069
377,352,0.133492
378,379,0.089119
378,377,0.191309
378,353,0.160220
379,380,0.187021
379,378,0.089119
379,354,0.199401
380,381,0.086355
380,379,0.187021
380,355,0.264895
381,382,0.141207
381,380,0.086355
381,356,0.286142
382,383,0.157374
382,381,0.141207
382,357,0.234093
383,384,0.119032
383,382,0.157374
383,358,0.170160
384,385,0.070750
384,383,0.119032
384,359,0.157726
385,386,0.055676
385,384,0.070750
385,360,0.147428
386,387,0.014369
386,385,0.055676
386,361,0.154047
387,388,0.017661
387,386,0.014369
387,362,0.172474
388,389,0.032597
388,387,0.017661
388,363,0.166098
389,390,0.057667
389,388,0.032597
389,364,0.103718
390,391,0.040411
390,389,0.057667
390,365,0.070196
391,392,0.025766
391,390,0.040411
391,366,0.077497
392,393,0.064779
392,391,0.025766
392,367,0.085691
393,394,0.044406
393,392,0.064779
393,368,0.158333
394,395,0.064007
394,393,0.044406
394,369,0.221778
395,396,0.125496
395,394,0.064007
395,370,0.211284
396,397,0.570978
396,395,0.125496
396,371,0.184382
397,398,0.407561
397,396,0.570978
397,372,0.089635
398,399,0.032434
398,397,0.407561
398,373,0.012206
399,398,0.032434
399,374,0.072618
